address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
,NYPD,New York City Police Department,,BROOKLYN,BROOKLYN,2019-08-11T01:59:39.000,11 BROOKLYN,Noise - Street/Sidewalk,2019-08-11T01:23:16.000,17 AVENUE,18 AVENUE,Loud Music/Party,,1731 79 STREET,11214.0,17 AVENUE,18 AVENUE,79 STREET,40.612026141514846,"{'type': 'Point', 'coordinates': [-73.99984872863021, 40.612026141514846]}",,,,Street/Sidewalk,,-73.99984872863021,MOBILE,BROOKLYN,Unspecified,2019-08-11T05:59:41.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,79 STREET,,43515219,984292.0,162254.0
,NYPD,New York City Police Department,2022810010.0,BRONX,BRONX,2019-08-11T02:51:16.000,01 BRONX,Noise - Street/Sidewalk,2019-08-11T01:23:32.000,WILLIS AVENUE,BROWN PLACE,Loud Music/Party,,411 EAST  136 STREET,10454.0,WILLIS AVENUE,BROWN PLACE,EAST  136 STREET,40.80756208946976,"{'type': 'Point', 'coordinates': [-73.92322458830684, 40.80756208946976]}",,,,Street/Sidewalk,,-73.92322458830684,MOBILE,BRONX,Unspecified,2019-08-11T07:00:59.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,EAST  136 STREET,,43518630,1005504.0,233503.0
,NYPD,New York City Police Department,1014720034.0,MANHATTAN,NEW YORK,2019-08-11T05:51:52.000,08 MANHATTAN,Noise - Residential,2019-08-11T01:23:50.000,1 AVENUE,YORK AVENUE,Loud Music/Party,,440 EAST   78 STREET,10075.0,1 AVENUE,YORK AVENUE,EAST   78 STREET,40.77123749893259,"{'type': 'Point', 'coordinates': [-73.95221032666362, 40.77123749893259]}",,,,Residential Building/House,,-73.95221032666362,ONLINE,MANHATTAN,Unspecified,2019-08-11T09:51:58.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,EAST   78 STREET,,43511588,997487.0,220263.0
ADDRESS,HPD,Department of Housing Preservation and Development,2026910064.0,BRONX,BRONX,2019-09-10T11:45:12.000,02 BRONX,APPLIANCE,2019-08-11T01:24:02.000,,,ELECTRIC/GAS RANGE,,1060 REV JAMES POLITE AVENUE,10459.0,,,,40.82510124906946,"{'type': 'Point', 'coordinates': [-73.89883308739871, 40.82510124906946]}",,,,RESIDENTIAL BUILDING,,-73.89883308739871,PHONE,BRONX,Unspecified,2019-09-10T11:45:12.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,Closed,REV JAMES POLITE AVENUE,,43521852,1012249.0,239900.0
,NYPD,New York City Police Department,5005570004.0,STATEN ISLAND,STATEN ISLAND,2019-08-11T03:40:07.000,01 STATEN ISLAND,Noise - Residential,2019-08-11T01:24:10.000,PINE PLACE,DIX PLACE,Banging/Pounding,,51 COURSEN PLACE,10304.0,PINE PLACE,DIX PLACE,COURSEN PLACE,40.61994787402175,"{'type': 'Point', 'coordinates': [-74.0790630903745, 40.61994787402175]}",,,,,,-74.0790630903745,PHONE,STATEN ISLAND,Unspecified,2019-08-11T07:40:11.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,Closed,COURSEN PLACE,,43512314,962301.0,165150.0
,DPR,Department of Parks and Recreation,4072540022.0,QUEENS,JAMAICA,,08 QUEENS,Damaged Tree,2019-08-11T01:24:19.000,KENT STREET,CHEVY CHASE STREET,Branch or Limb Has Fallen Down,,184-16 RADNOR ROAD,11432.0,KENT STREET,CHEVY CHASE STREET,RADNOR ROAD,40.72260437005676,"{'type': 'Point', 'coordinates': [-73.78195909915273, 40.72260437005676]}",,,,Street,,-73.78195909915273,MOBILE,QUEENS,Unspecified,,,In Progress,RADNOR ROAD,,43516467,1044688.0,202616.0
,NYPD,New York City Police Department,2043830010.0,BRONX,BRONX,2019-08-11T10:17:17.000,11 BRONX,Noise - Street/Sidewalk,2019-08-11T01:24:23.000,PELHAM PARKWAY NORTH,ASTOR AVENUE,Loud Music/Party,,2214 FISH AVENUE,10469.0,PELHAM PARKWAY NORTH,ASTOR AVENUE,FISH AVENUE,40.85896103041013,"{'type': 'Point', 'coordinates': [-73.84737520613889, 40.85896103041013]}",,,,Street/Sidewalk,,-73.84737520613889,PHONE,BRONX,Unspecified,2019-08-11T14:19:07.000,The Police Department responded to the complaint and determined that police action was not necessary,Closed,FISH AVENUE,,43511934,1026469.0,252257.0
,NYPD,New York City Police Department,1021530057.0,MANHATTAN,NEW YORK,2019-08-11T01:59:09.000,12 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T01:24:37.000,AUDUBON AVENUE,ST NICHOLAS AVENUE,Loud Music/Party,,561 WEST  180 STREET,10033.0,AUDUBON AVENUE,ST NICHOLAS AVENUE,WEST  180 STREET,40.84830001908563,"{'type': 'Point', 'coordinates': [-73.93344995935585, 40.84830001908563]}",,,,Street/Sidewalk,,-73.93344995935585,PHONE,MANHATTAN,Unspecified,2019-08-11T05:59:12.000,The Police Department reviewed your complaint and provided additional information below.,Closed,WEST  180 STREET,,43516600,1002662.0,248343.0
,NYPD,New York City Police Department,,QUEENS,SAINT ALBANS,2019-08-11T07:26:09.000,12 QUEENS,Noise - Residential,2019-08-11T01:24:48.000,HOLLIS AVENUE,111 AVENUE,Loud Music/Party,,110-38 200 STREET,11412.0,HOLLIS AVENUE,111 AVENUE,200 STREET,40.70446024864912,"{'type': 'Point', 'coordinates': [-73.75671019006482, 40.70446024864912]}",,,,Residential Building/House,,-73.75671019006482,ONLINE,QUEENS,Unspecified,2019-08-11T11:26:11.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,200 STREET,,43512191,1051705.0,196024.0
,NYPD,New York City Police Department,2028280005.0,BRONX,BRONX,2019-08-11T08:15:22.000,05 BRONX,Noise - Vehicle,2019-08-11T01:25:00.000,EAST  177 STREET,EAST TREMONT AVENUE,Car/Truck Music,,1920 WALTON AVENUE,10453.0,EAST  177 STREET,EAST TREMONT AVENUE,WALTON AVENUE,40.85046533985372,"{'type': 'Point', 'coordinates': [-73.90896964351693, 40.85046533985372]}",,,,Street/Sidewalk,,-73.90896964351693,PHONE,BRONX,Unspecified,2019-08-11T12:16:05.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,WALTON AVENUE,,43517946,1009434.0,249138.0
,NYPD,New York City Police Department,2022810010.0,BRONX,BRONX,2019-08-11T02:50:59.000,01 BRONX,Noise - Street/Sidewalk,2019-08-11T01:25:10.000,WILLIS AVENUE,BROWN PLACE,Loud Music/Party,,411 EAST  136 STREET,10454.0,WILLIS AVENUE,BROWN PLACE,EAST  136 STREET,40.80756208946976,"{'type': 'Point', 'coordinates': [-73.92322458830684, 40.80756208946976]}",,,,Street/Sidewalk,,-73.92322458830684,MOBILE,BRONX,Unspecified,2019-08-11T07:00:58.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,EAST  136 STREET,,43512544,1005504.0,233503.0
,NYPD,New York City Police Department,3017600055.0,BROOKLYN,BROOKLYN,2019-08-11T02:26:42.000,03 BROOKLYN,Noise - Residential,2019-08-11T01:25:23.000,TOMPKINS AVENUE,THROOP AVENUE,Loud Music/Party,,635 WILLOUGHBY AVENUE,11206.0,TOMPKINS AVENUE,THROOP AVENUE,WILLOUGHBY AVENUE,40.69446854640289,"{'type': 'Point', 'coordinates': [-73.94409020308004, 40.69446854640289]}",,,,,,-73.94409020308004,PHONE,BROOKLYN,Unspecified,2019-08-11T06:26:47.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,WILLOUGHBY AVENUE,,43511789,999754.0,192295.0
,NYPD,New York City Police Department,3031940004.0,BROOKLYN,BROOKLYN,2019-08-11T03:01:33.000,04 BROOKLYN,Noise - Commercial,2019-08-11T01:25:29.000,DITMARS STREET,WILLOUGHBY AVENUE,Loud Music/Party,,1005 BROADWAY,11221.0,DITMARS STREET,WILLOUGHBY AVENUE,BROADWAY,40.69596150456812,"{'type': 'Point', 'coordinates': [-73.9334072846929, 40.69596150456812]}",,,,Club/Bar/Restaurant,,-73.9334072846929,PHONE,BROOKLYN,Unspecified,2019-08-11T07:01:47.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,BROADWAY,,43518045,1002716.0,192841.0
,NYPD,New York City Police Department,1020790025.0,MANHATTAN,NEW YORK,2019-08-11T04:12:03.000,09 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T01:25:35.000,AMSTERDAM AVENUE,BROADWAY,Loud Music/Party,,507 WEST  147 STREET,10031.0,AMSTERDAM AVENUE,BROADWAY,WEST  147 STREET,40.826761147449865,"{'type': 'Point', 'coordinates': [-73.94718406330993, 40.826761147449865]}",,,,Street/Sidewalk,,-73.94718406330993,MOBILE,MANHATTAN,Unspecified,2019-08-11T08:12:09.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,WEST  147 STREET,,43513791,998867.0,240493.0
,NYPD,New York City Police Department,3050060005.0,BROOKLYN,BROOKLYN,2019-08-11T10:14:41.000,17 BROOKLYN,Noise - Residential,2019-08-11T01:26:18.000,EAST   31 STREET,EAST   32 STREET,Loud Music/Party,,3115 GLENWOOD ROAD,11210.0,EAST   31 STREET,EAST   32 STREET,GLENWOOD ROAD,40.63408184814761,"{'type': 'Point', 'coordinates': [-73.94657274614863, 40.63408184814761]}",,,,,,-73.94657274614863,PHONE,BROOKLYN,Unspecified,2019-08-11T14:14:56.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,GLENWOOD ROAD,,43512738,999079.0,170294.0
,NYPD,New York City Police Department,5005450100.0,STATEN ISLAND,STATEN ISLAND,2019-08-11T03:40:52.000,01 STATEN ISLAND,Noise - Residential,2019-08-11T01:26:29.000,TOMPKINS AVENUE,WARREN STREET,Loud Music/Party,,75 HILL STREET,10304.0,TOMPKINS AVENUE,WARREN STREET,HILL STREET,40.621162555814095,"{'type': 'Point', 'coordinates': [-74.08087643265898, 40.621162555814095]}",,,,Residential Building/House,,-74.08087643265898,ONLINE,STATEN ISLAND,Unspecified,2019-08-11T07:40:55.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,HILL STREET,,43516453,961798.0,165593.0
,NYPD,New York City Police Department,3015100027.0,BROOKLYN,BROOKLYN,2019-08-11T05:32:22.000,16 BROOKLYN,Noise - Street/Sidewalk,2019-08-11T01:26:38.000,SARATOGA AVENUE,THOMAS S BOYLAND STREET,Loud Talking,,538 BAINBRIDGE STREET,11233.0,SARATOGA AVENUE,THOMAS S BOYLAND STREET,BAINBRIDGE STREET,40.68274193778037,"{'type': 'Point', 'coordinates': [-73.91553710670782, 40.68274193778037]}",,,,Street/Sidewalk,,-73.91553710670782,ONLINE,BROOKLYN,Unspecified,2019-08-11T09:32:24.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,BAINBRIDGE STREET,,43517187,1007676.0,188029.0
,NYPD,New York City Police Department,3016490037.0,BROOKLYN,BROOKLYN,2019-08-11T05:31:56.000,03 BROOKLYN,Noise - Residential,2019-08-11T01:26:43.000,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,Loud Music/Party,,640 PUTNAM AVENUE,11221.0,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,PUTNAM AVENUE,40.685598918605,"{'type': 'Point', 'coordinates': [-73.93635265212255, 40.685598918605]}",,,,Residential Building/House,,-73.93635265212255,MOBILE,BROOKLYN,Unspecified,2019-08-11T09:31:59.000,The Police Department responded to the complaint and determined that police action was not necessary,Closed,PUTNAM AVENUE,,43516454,1001902.0,189065.0
,NYPD,New York City Police Department,1021530081.0,MANHATTAN,NEW YORK,2019-08-11T01:59:34.000,12 MANHATTAN,Noise - Residential,2019-08-11T01:27:33.000,AUDUBON AVENUE,ST NICHOLAS AVENUE,Loud Music/Party,,555 WEST  180 STREET,10033.0,AUDUBON AVENUE,ST NICHOLAS AVENUE,WEST  180 STREET,40.84826153897332,"{'type': 'Point', 'coordinates': [-73.93335602107908, 40.84826153897332]}",,,,Residential Building/House,,-73.93335602107908,ONLINE,MANHATTAN,Unspecified,2019-08-11T05:59:37.000,The Police Department reviewed your complaint and provided additional information below.,Closed,WEST  180 STREET,,43515432,1002688.0,248329.0
,NYPD,New York City Police Department,1021370021.0,MANHATTAN,NEW YORK,2019-08-11T04:44:58.000,12 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T01:27:36.000,BROADWAY,FT WASHINGTON AVENUE,Loud Talking,,609 WEST  161 STREET,10032.0,BROADWAY,FT WASHINGTON AVENUE,WEST  161 STREET,40.8367693868806,"{'type': 'Point', 'coordinates': [-73.94353334046437, 40.8367693868806]}",,,,Street/Sidewalk,,-73.94353334046437,ONLINE,MANHATTAN,Unspecified,2019-08-11T08:45:04.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,WEST  161 STREET,,43518189,999875.0,244140.0
,NYPD,New York City Police Department,3016120019.0,BROOKLYN,BROOKLYN,2019-08-11T04:54:15.000,03 BROOKLYN,Noise - Residential,2019-08-11T01:27:48.000,MALCOLM X BOULEVARD,KOSSUTH PLACE,Loud Music/Party,,1050 LAFAYETTE AVENUE,11221.0,MALCOLM X BOULEVARD,KOSSUTH PLACE,LAFAYETTE AVENUE,40.69234451586467,"{'type': 'Point', 'coordinates': [-73.92982649440205, 40.69234451586467]}",,,,Residential Building/House,,-73.92982649440205,MOBILE,BROOKLYN,Unspecified,2019-08-11T08:54:21.000,The Police Department responded to the complaint and determined that police action was not necessary,Closed,LAFAYETTE AVENUE,,43518052,1003710.0,191524.0
,NYPD,New York City Police Department,3047240005.0,BROOKLYN,BROOKLYN,2019-08-11T10:15:33.000,17 BROOKLYN,Noise - Residential,2019-08-11T01:27:56.000,EAST   52 STREET,EAST   53 STREET,Loud Music/Party,,5210 SNYDER AVENUE,11203.0,EAST   52 STREET,EAST   53 STREET,SNYDER AVENUE,40.650233049105466,"{'type': 'Point', 'coordinates': [-73.92804728303999, 40.650233049105466]}",,,,Residential Building/House,,-73.92804728303999,MOBILE,BROOKLYN,Unspecified,2019-08-11T14:18:22.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,SNYDER AVENUE,,43514023,1004216.0,176182.0
INTERSECTION,DOT,Department of Transportation,,BRONX,BRONX,2019-08-20T22:44:00.000,11 BRONX,Street Light Condition,2019-08-11T01:28:00.000,,,Street Light Out,,,10467.0,ADEE AVENUE,CRUGER AVENUE,,40.86969422534882,"{'type': 'Point', 'coordinates': [-73.86620623861982, 40.86969422534882]}",,,,,,-73.86620623861982,UNKNOWN,BRONX,Unspecified,2019-08-20T22:44:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,,,43519125,1021254.0,256159.0
,NYPD,New York City Police Department,3085080062.0,BROOKLYN,BROOKLYN,2019-08-11T01:58:29.000,18 BROOKLYN,Noise - Residential,2019-08-11T01:28:10.000,FILLMORE AVENUE,AVENUE S,Loud Music/Party,,1960 HENDRICKSON STREET,11234.0,FILLMORE AVENUE,AVENUE S,HENDRICKSON STREET,40.61321941643671,"{'type': 'Point', 'coordinates': [-73.92780984274201, 40.613219416436706]}",,,,Residential Building/House,,-73.92780984274201,PHONE,BROOKLYN,Unspecified,2019-08-11T05:58:31.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,HENDRICKSON STREET,,43516776,1004293.0,162697.0
,NYPD,New York City Police Department,2031810030.0,BRONX,BRONX,2019-08-11T08:06:27.000,05 BRONX,Noise - Vehicle,2019-08-11T01:28:48.000,CAMERON PLACE,EAST  182 STREET,Car/Truck Music,,2199 MORRIS AVENUE,10453.0,CAMERON PLACE,EAST  182 STREET,MORRIS AVENUE,40.85628481053408,"{'type': 'Point', 'coordinates': [-73.90308741986428, 40.85628481053408]}",,,,Street/Sidewalk,,-73.90308741986428,PHONE,BRONX,Unspecified,2019-08-11T12:06:30.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,MORRIS AVENUE,,43518291,1011059.0,251260.0
,NYPD,New York City Police Department,1014720014.0,MANHATTAN,NEW YORK,2019-08-11T17:35:58.000,08 MANHATTAN,Noise - Residential,2019-08-11T01:28:57.000,1 AVENUE,YORK AVENUE,Loud Music/Party,,435 EAST   77 STREET,10075.0,1 AVENUE,YORK AVENUE,EAST   77 STREET,40.770658585337344,"{'type': 'Point', 'coordinates': [-73.9527595044945, 40.770658585337344]}",,,,Residential Building/House,,-73.9527595044945,PHONE,MANHATTAN,Unspecified,2019-08-11T21:36:00.000,The Police Department reviewed your complaint and provided additional information below.,Closed,EAST   77 STREET,,43515025,997335.0,220052.0
,NYPD,New York City Police Department,5020720094.0,STATEN ISLAND,STATEN ISLAND,2019-08-11T06:03:07.000,02 STATEN ISLAND,Noise - Residential,2019-08-11T01:29:40.000,RICHMOND AVENUE,SAYBROOK STREET,Loud Music/Party,,29 CROFT PLACE,10314.0,RICHMOND AVENUE,SAYBROOK STREET,CROFT PLACE,40.60511438557639,"{'type': 'Point', 'coordinates': [-74.16109462378412, 40.60511438557639]}",,,,Residential Building/House,,-74.16109462378412,PHONE,STATEN ISLAND,Unspecified,2019-08-11T10:03:12.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,CROFT PLACE,,43516457,939518.0,159777.0
,NYPD,New York City Police Department,5010870001.0,STATEN ISLAND,STATEN ISLAND,2019-08-11T02:14:10.000,01 STATEN ISLAND,Noise - Residential,2019-08-11T01:30:36.000,TREADWELL AVENUE,NICHOLAS AVENUE,Loud Music/Party,,121 HARRISON AVENUE,10302.0,TREADWELL AVENUE,NICHOLAS AVENUE,HARRISON AVENUE,40.63683230857852,"{'type': 'Point', 'coordinates': [-74.13865217177002, 40.63683230857852]}",,,,Residential Building/House,,-74.13865217177002,ONLINE,STATEN ISLAND,Unspecified,2019-08-11T06:14:16.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,HARRISON AVENUE,,43517091,945768.0,171322.0
,NYPD,New York City Police Department,4026930039.0,QUEENS,MASPETH,2019-08-11T08:54:30.000,05 QUEENS,Illegal Parking,2019-08-11T01:30:44.000,59 STREET,61 STREET,Blocked Hydrant,,59-54 57 ROAD,11378.0,59 STREET,61 STREET,57 ROAD,40.722466428587836,"{'type': 'Point', 'coordinates': [-73.90771223382582, 40.722466428587836]}",,,,Street/Sidewalk,,-73.90771223382582,ONLINE,QUEENS,Unspecified,2019-08-11T12:54:33.000,The Police Department issued a summons in response to the complaint.,Closed,57 ROAD,,43518002,1009831.0,202504.0
,NYPD,New York City Police Department,1019250047.0,MANHATTAN,NEW YORK,2019-08-11T04:46:28.000,10 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T01:30:52.000,ADAM CLAYTON POWELL JR BOULEVARD,ST NICHOLAS AVENUE,Loud Music/Party,,232 WEST  120 STREET,10027.0,ADAM CLAYTON POWELL JR BOULEVARD,ST NICHOLAS AVENUE,WEST  120 STREET,40.806257368197635,"{'type': 'Point', 'coordinates': [-73.95180590080824, 40.806257368197635]}",,,,Street/Sidewalk,,-73.95180590080824,ONLINE,MANHATTAN,Unspecified,2019-08-11T08:46:33.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,WEST  120 STREET,,43511917,997592.0,233022.0
,NYPD,New York City Police Department,2031610001.0,BRONX,BRONX,2019-08-11T08:05:05.000,05 BRONX,Noise - Street/Sidewalk,2019-08-11T01:30:52.000,EAST  180 STREET,EAST  181 STREET,Loud Music/Party,,2084 CRESTON AVENUE,10453.0,EAST  180 STREET,EAST  181 STREET,CRESTON AVENUE,40.854073015423,"{'type': 'Point', 'coordinates': [-73.90360756019193, 40.854073015423]}",,,,Street/Sidewalk,,-73.90360756019193,ONLINE,BRONX,Unspecified,2019-08-11T12:05:11.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,CRESTON AVENUE,,43516273,1010916.0,250454.0
,NYPD,New York City Police Department,3061740050.0,BROOKLYN,BROOKLYN,2019-08-11T02:03:53.000,11 BROOKLYN,Illegal Parking,2019-08-11T01:30:59.000,20 AVENUE,21 AVENUE,Commercial Overnight Parking,,2067 71 STREET,11204.0,20 AVENUE,21 AVENUE,71 STREET,40.612302741585,"{'type': 'Point', 'coordinates': [-73.98802069851985, 40.612302741585]}",,,,Street/Sidewalk,,-73.98802069851985,MOBILE,BROOKLYN,Unspecified,2019-08-11T06:03:55.000,The Police Department responded to the complaint and determined that police action was not necessary,Closed,71 STREET,,43515942,987576.0,162355.0
,NYPD,New York City Police Department,2028440105.0,BRONX,BRONX,2019-08-11T03:07:11.000,04 BRONX,Noise - Street/Sidewalk,2019-08-11T01:30:59.000,EAST  171 STREET,EAST  172 STREET,Loud Music/Party,,1465 WYTHE PLACE,10452.0,EAST  171 STREET,EAST  172 STREET,WYTHE PLACE,40.840645974317226,"{'type': 'Point', 'coordinates': [-73.91411145709117, 40.840645974317226]}",,,,Street/Sidewalk,,-73.91411145709117,MOBILE,BRONX,Unspecified,2019-08-11T07:07:16.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WYTHE PLACE,,43516945,1008015.0,245559.0
ADDRESS,DOT,Department of Transportation,3018700001.0,BROOKLYN,BROOKLYN,2019-08-12T14:42:00.000,03 BROOKLYN,Street Light Condition,2019-08-11T01:31:00.000,ATLANTIC AVE,HERKIMER ST,Street Light Out,,42 KINGSTON AVENUE,11213.0,,,,40.67854475834218,"{'type': 'Point', 'coordinates': [-73.94134189892114, 40.67854475834218]}",,,,,,-73.94134189892114,UNKNOWN,BROOKLYN,Unspecified,2019-08-12T14:42:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,KINGSTON AVENUE,,43523681,1000520.0,186494.0
,NYPD,New York City Police Department,,MANHATTAN,,2019-08-11T04:53:50.000,11 MANHATTAN,Noise - Residential,2019-08-11T01:31:15.000,2 AVENUE,EAST   99 STREET,Loud Music/Party,,2 AVENUE,10029.0,2 AVENUE,EAST   99 STREET,,40.786174213915935,"{'type': 'Point', 'coordinates': [-73.94569597777486, 40.786174213915935]}",,,,,,-73.94569597777486,PHONE,MANHATTAN,Unspecified,2019-08-11T08:53:52.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,2 AVENUE,,43511807,999288.0,225706.0
,NYPD,New York City Police Department,3024500031.0,BROOKLYN,BROOKLYN,2019-08-11T04:15:16.000,01 BROOKLYN,Noise - Vehicle,2019-08-11T01:31:35.000,KEAP STREET,HOOPER STREET,Car/Truck Music,,367 SOUTH    5 STREET,11211.0,KEAP STREET,HOOPER STREET,SOUTH    5 STREET,40.707922326730234,"{'type': 'Point', 'coordinates': [-73.95409522814377, 40.707922326730234]}",,,,Street/Sidewalk,,-73.95409522814377,ONLINE,BROOKLYN,Unspecified,2019-08-11T08:15:22.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,SOUTH    5 STREET,,43512751,996977.0,197195.0
,NYPD,New York City Police Department,4109540003.0,QUEENS,SAINT ALBANS,2019-08-11T06:25:13.000,12 QUEENS,Noise - Residential,2019-08-11T01:31:58.000,196 STREET,197 STREET,Loud Music/Party,,196-06 111 AVENUE,11412.0,196 STREET,197 STREET,111 AVENUE,40.70317963090558,"{'type': 'Point', 'coordinates': [-73.75989231150805, 40.70317963090558]}",,,,Residential Building/House,,-73.75989231150805,ONLINE,QUEENS,Unspecified,2019-08-11T10:25:16.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,111 AVENUE,,43516419,1050824.0,195555.0
,NYPD,New York City Police Department,4091050058.0,QUEENS,OZONE PARK,2019-08-11T04:32:31.000,09 QUEENS,Noise - Residential,2019-08-11T01:32:02.000,101 AVENUE,103 AVENUE,Loud Music/Party,,101-25 98 STREET,11416.0,101 AVENUE,103 AVENUE,98 STREET,40.68469172104638,"{'type': 'Point', 'coordinates': [-73.8431805078257, 40.68469172104638]}",,,,Residential Building/House,,-73.8431805078257,ONLINE,QUEENS,Unspecified,2019-08-11T08:32:35.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,98 STREET,,43512210,1027743.0,188767.0
,NYPD,New York City Police Department,,BROOKLYN,,2019-08-11T06:17:50.000,09 BROOKLYN,Noise - Street/Sidewalk,2019-08-11T01:32:05.000,CARROLL STREET,ROGERS AVENUE,Loud Talking,,ROGERS AVENUE,11225.0,CARROLL STREET,ROGERS AVENUE,,40.6673324235577,"{'type': 'Point', 'coordinates': [-73.95352118043246, 40.6673324235577]}",,,,Street/Sidewalk,,-73.95352118043246,MOBILE,BROOKLYN,Unspecified,2019-08-11T10:17:52.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,ROGERS AVENUE,,43513215,997144.0,182407.0
,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2019-08-11T02:35:26.000,04 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T01:32:30.000,HIGH LINE,11 AVENUE,Loud Music/Party,,560 WEST   18 STREET,10011.0,HIGH LINE,11 AVENUE,WEST   18 STREET,40.745144640331446,"{'type': 'Point', 'coordinates': [-74.00758950790795, 40.745144640331446]}",,,,Street/Sidewalk,,-74.00758950790795,PHONE,MANHATTAN,Unspecified,2019-08-11T07:00:24.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WEST   18 STREET,,43512576,982147.0,210753.0
,NYPD,New York City Police Department,1021440057.0,MANHATTAN,NEW YORK,2019-08-11T04:45:21.000,12 MANHATTAN,Noise - Street/Sidewalk,2019-08-11T01:32:47.000,ST NICHOLAS AVENUE,WADSWORTH AVENUE,Loud Music/Party,,600 WEST  176 STREET,10033.0,ST NICHOLAS AVENUE,WADSWORTH AVENUE,WEST  176 STREET,40.846177209663864,"{'type': 'Point', 'coordinates': [-73.9362712980107, 40.846177209663864]}",,,,Street/Sidewalk,,-73.9362712980107,MOBILE,MANHATTAN,Unspecified,2019-08-11T08:45:22.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,WEST  176 STREET,,43513245,1001882.0,247569.0
,NYPD,New York City Police Department,2028440105.0,BRONX,BRONX,2019-08-11T02:35:43.000,04 BRONX,Noise - Street/Sidewalk,2019-08-11T01:32:53.000,EAST  171 STREET,EAST  172 STREET,Loud Music/Party,,1459 WYTHE PLACE,10452.0,EAST  171 STREET,EAST  172 STREET,WYTHE PLACE,40.84056093412579,"{'type': 'Point', 'coordinates': [-73.9141730061352, 40.84056093412579]}",,,,Street/Sidewalk,,-73.9141730061352,ONLINE,BRONX,Unspecified,2019-08-11T07:00:25.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WYTHE PLACE,,43513785,1007998.0,245528.0
,NYPD,New York City Police Department,2035190005.0,BRONX,BRONX,2019-08-11T05:27:21.000,09 BRONX,Noise - Street/Sidewalk,2019-08-11T01:33:01.000,LACOMBE AVENUE,RANDALL AVENUE,Loud Music/Party,,502 ROSEDALE AVENUE,10473.0,LACOMBE AVENUE,RANDALL AVENUE,ROSEDALE AVENUE,40.814595751952744,"{'type': 'Point', 'coordinates': [-73.8652223693633, 40.814595751952744]}",,,,Street/Sidewalk,,-73.8652223693633,ONLINE,BRONX,Unspecified,2019-08-11T09:27:22.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,ROSEDALE AVENUE,,43516928,1021557.0,236085.0
